variant,threshold,n,accuracy,precision,recall,f1,pr_auc,tn,fp,fn,tp,error_rate
Baseline RF threshold 0.50,0.5,88.0,0.7840909090909091,0.8666666666666667,0.6341463414634146,0.7323943661971831,0.8531881605316441,43,4,15,26,0.2159090909090909
Actual RF threshold 0.43,0.43,88.0,0.8181818181818182,0.8048780487804879,0.8048780487804879,0.8048780487804879,0.8531881605316441,39,8,8,33,0.18181818181818182
Delta actual - baseline,,,0.03409090909090917,-0.06178861788617884,0.1707317073170732,0.07248368258330473,0.0,-4,4,-7,7,-0.03409090909090909
